profile,window,fee,ema_len,st_len,st_mult,adx_len,adx_min,breakout_len,entry_mode,exit_len,adx_rising,total,cagr,mdd,sharpe,years,exposure,calmar,n,per_year,winrate,pf,avg_r,avg_win_r,avg_loss_r,avg_bars,max_consec_loss,risk_pct,max_open_risk_pct,open_positions,start,last
exit0_rising0,train,0.008,200,10,3.0,14,20.0,20,state,0,False,0.8407880376956196,0.22556004661348683,-0.150553481371284,1.3427121805682327,3.0,0.44033485540334855,1.4982054520361912,109,36.333333333333336,0.45871559633027525,2.2457181001019633,0.6867936867016196,2.5010852343398207,-0.8507415231612634,53.14678899082569,9,1.0,0.0,0,2021-01-01 00:00:00+00:00,2023-12-31 20:00:00+00:00
exit0_rising0,validation,0.008,200,10,3.0,14,20.0,20,state,0,False,0.14597927795038412,0.07040444951409963,-0.19479725306425866,0.5474283907382186,2.0027397260273974,0.4466484268125855,0.36142424190589073,85,42.44186046511628,0.3764705882352941,1.2756531760727945,0.2088416174991528,2.0110752720233585,-0.8792994569305561,46.11764705882353,9,1.0,0.0,0,2024-01-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
exit0_rising1,train,0.008,200,10,3.0,14,20.0,20,state,0,True,0.7915062365618064,0.21452401923077535,-0.14279794061861228,1.3051326101429226,3.0,0.42724505327245055,1.5022907074250502,106,35.333333333333336,0.44339622641509435,2.2219445529750645,0.6769360510896499,2.572833618840491,-0.8333552316949184,53.39622641509434,9,1.0,0.0,0,2021-01-01 00:00:00+00:00,2023-12-31 20:00:00+00:00
exit0_rising1,validation,0.008,200,10,3.0,14,20.0,20,state,0,True,0.20368172401785167,0.09698518836817094,-0.15116130797990834,0.7384648980758913,2.0027397260273974,0.431828545371637,0.641600616349931,76,37.94801641586867,0.3684210526315789,1.4475863800812665,0.291857959008839,2.1986419043083703,-0.8204326757492212,47.56578947368421,9,1.0,0.0,0,2024-01-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
exit6_rising0,train,0.008,200,10,3.0,14,20.0,20,state,6,False,0.0793627354193498,0.025783730690156492,-0.16410408377003327,0.2861115543424913,3.0,0.30989345509893457,0.15711815390461847,167,55.666666666666664,0.39520958083832336,1.1256954299113135,0.08663889961845464,1.155063232580446,-0.6115393773666089,20.838323353293415,7,1.0,0.0,0,2021-01-01 00:00:00+00:00,2023-12-31 20:00:00+00:00
exit6_rising0,validation,0.008,200,10,3.0,14,20.0,20,state,6,False,-0.0791616293352776,-0.04034263162938545,-0.23411370703819212,-0.3303807861891438,2.0027397260273974,0.32033743730050157,-0.17232067331625378,111,55.424076607387136,0.3063063063063063,0.8286091903762739,-0.0627572929804956,1.1680322700185737,-0.60622281430476,22.9009009009009,11,1.0,0.0,0,2024-01-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
exit6_rising1,train,0.008,200,10,3.0,14,20.0,20,state,6,True,0.05936830023460726,0.019410238406510905,-0.17943942067734298,0.23190066893846237,3.0,0.2998477929984779,0.10817153963851238,160,53.333333333333336,0.3875,1.0979272645190963,0.077809805161722,1.1698249685732776,-0.6130569308741602,20.8875,7,1.0,0.0,0,2021-01-01 00:00:00+00:00,2023-12-31 20:00:00+00:00
exit6_rising1,validation,0.008,200,10,3.0,14,20.0,20,state,6,True,-0.04455221035622603,-0.022499432147060627,-0.1972973033326545,-0.16812392516194416,2.0027397260273974,0.3057455540355677,-0.11403821424322917,100,49.93160054719562,0.31,0.8871932368810357,-0.03561704590417609,1.164642328889418,-0.5748640113911528,23.17,9,1.0,0.0,0,2024-01-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
exit12_rising0,train,0.008,200,10,3.0,14,20.0,20,state,12,False,0.4297087299469724,0.12654667392821928,-0.15664533161193728,0.941871549909946,3.0,0.36818873668188734,0.8078547418298911,135,45.0,0.4074074074074074,1.6202432295300564,0.33075226067192914,1.8575170850861313,-0.7188985561128349,34.03703703703704,10,1.0,0.0,0,2021-01-01 00:00:00+00:00,2023-12-31 20:00:00+00:00
exit12_rising0,validation,0.008,200,10,3.0,14,20.0,20,state,12,False,-0.0601063310868043,-0.03047775944724096,-0.22918375168162297,-0.19434744353756225,2.0027397260273974,0.40378476972184224,-0.132983945081674,101,50.430916552667576,0.33663366336633666,0.8850593398020604,-0.04482106934844336,1.4225531568369962,-0.7894587363679203,31.96039603960396,10,1.0,0.0,0,2024-01-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
exit12_rising1,train,0.008,200,10,3.0,14,20.0,20,state,12,True,0.3681899864111704,0.11015120803804446,-0.15035116258715286,0.8481844006154162,3.0,0.35205479452054794,0.7326262473972822,132,44.0,0.3939393939393939,1.5422994162039456,0.3031972884959151,1.8928054007227226,-0.7300479844515095,33.71969696969697,10,1.0,0.0,0,2021-01-01 00:00:00+00:00,2023-12-31 20:00:00+00:00
exit12_rising1,validation,0.008,200,10,3.0,14,20.0,20,state,12,True,-0.005922587803094959,-0.0029616405448532612,-0.18044019919800203,0.033338130068195325,2.0027397260273974,0.3901048791609667,-0.016413418728292196,90,44.938440492476055,0.32222222222222224,0.9865915079184653,0.008378213596648981,1.5461117738148298,-0.7226754461792074,32.577777777777776,8,1.0,0.0,0,2024-01-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
exit20_rising0,train,0.008,200,10,3.0,14,20.0,20,state,20,False,0.75724453807158,0.20673173483806173,-0.15985497891656097,1.281852799958688,3.0,0.4161339421613394,1.2932455169004706,118,39.333333333333336,0.4152542372881356,2.1077816531668714,0.5943367934876488,2.522035883922246,-0.7746089374006883,44.983050847457626,10,1.0,0.0,0,2021-01-01 00:00:00+00:00,2023-12-31 20:00:00+00:00
exit20_rising0,validation,0.008,200,10,3.0,14,20.0,20,state,20,False,0.11074226578081348,0.05384187058466505,-0.22117202949913173,0.44309016209516217,2.0027397260273974,0.42909256725946193,0.24343887745026288,89,44.4391244870041,0.3595505617977528,1.1995884059803534,0.16472882600212282,1.9998342113128955,-0.8655057762776094,42.168539325842694,9,1.0,0.0,0,2024-01-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
exit20_rising1,train,0.008,200,10,3.0,14,20.0,20,state,20,True,0.6858801466871489,0.19016972526480336,-0.15629308653790597,1.2129597630113063,3.0,0.4031963470319635,1.2167507180087664,115,38.333333333333336,0.4,2.038638811906414,0.5698296948022259,2.585445897503439,-0.7739144403319158,44.89565217391304,10,1.0,0.0,0,2021-01-01 00:00:00+00:00,2023-12-31 20:00:00+00:00
exit20_rising1,validation,0.008,200,10,3.0,14,20.0,20,state,20,True,0.17423318557933842,0.08350136658676388,-0.17305831727981424,0.657731421962711,2.0027397260273974,0.415640674874601,0.4825042095593263,79,39.44596443228454,0.35443037974683544,1.36771033964741,0.24998234808630607,2.183606885694658,-0.811615437267299,43.44303797468354,9,1.0,0.0,0,2024-01-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
exit0_rising0,holdout,0.008,200,10,3.0,14,20.0,20,state,0,False,0.03418435639503414,0.05178502495688497,-0.14259521462943026,0.4341674523677085,0.6657534246575343,0.32098765432098764,0.36316102957214563,21,31.54320987654321,0.19047619047619047,0.12711355310982736,-0.5485402254656722,0.42493951355830917,-0.777594281706609,37.142857142857146,6,1.0,0.0,2,2026-01-01 00:00:00+00:00,2026-08-31 20:00:00+00:00
